ENROLID,Bifidobacterium bifidum,Bifidobacterium breve,Bifidobacterium longum,Bacteroides fragilis,Prevotella copri,Prevotella stercorea,Enterococcus faecium,Lactobacillus ruminis,Streptococcus salivarius,Megamonas rupellensis,Megamonas unclassified,Megasphaera unclassified,Veillonella unclassified,Campylobacter coli,Escherichia coli,Escherichia unclassified,Klebsiella pneumoniae,Escherichia phage phAPEC8,Vibrio phage ICP1,Vibrio phage ICP2,Human adenovirus F,Other
514,0.001210004114013988,0.003630012342041963,0.28114095587925,0.001030003502011907,0.02352007996827189,5.0000170000578e-05,0.000830002822009595,0.001880006392021733,0.01345004573015549,5.0000170000578e-05,0.04844016469655997,0.003870013158044738,0.001580005372018265,0.0,0.2335407940386997,0.0118600403241371,0.01534005215617733,99.17511719539847,0.0,0.0,0.1398504754916167,0.04361014827450414
508,0.003940000788000158,0.005140001028000206,1.026100205220041,0.0,0.001180000236000047,0.0,0.0,8.000001600000321e-05,0.04117000823400165,0.0,0.0,0.0,0.003760000752000151,0.0,0.8295901659180331,0.5949801189960239,2.065290413058083,88.64771772954356,0.0,0.0,0.0,6.781051356210273
404,6.139646874007135,2.056828723697243,0.6478758832586231,0.8308463552332115,48.1855495034382,0.0,0.0,13.05908883512175,0.01014608863771416,0.0,0.0,8.608454920136147,0.01350472469861756,0.0,1.016984973462264,0.0,0.0,0.0,0.0,0.0,0.0,19.43107311830911
408,7.430321828019427,9.619596688659069,4.043908294043029,11.64068804749428,8.097588165916974,0.009390345841621782,0.003100018018227704,21.96005611734882,0.9286309638226891,0.0007323667162803312,1.093814771816602,0.0,0.0,10.80021196498605,1.286387088515246,0.0,0.0151489553641548,0.0,0.0,0.0,0.0,23.07042438343751
401,5.056576441924817,5.174381035282705,8.233525829603252,0.04009921777990304,33.96272584970793,0.0191434967278838,0.0,16.02254607305006,0.3081882702829452,0.0,0.001341646737205246,14.23914712918636,0.2206608391139284,0.0,1.353481262902086,0.09189278920947569,0.02199699911671585,0.0,0.0,0.0,0.0,15.25429311937472
409,3.32944770935258,1.318081229449872,4.87395234893178,5.299036866402155,13.76865022278836,0.0,0.05494794053347695,1.057737557679376,0.1694674395351256,0.04052101686642275,17.49821079372794,0.0,0.8322203354748887,0.0,1.542826132400234,0.145422566756702,0.1465244088925869,0.9652034134451515,0.0,0.0,0.0,48.95775001776334
513,0.0001199999880000012,0.0004599999540000045,0.007569999243000077,0.0,0.0,0.0,0.2451099754890024,0.0,0.0003899999610000039,0.0005299999470000053,0.05948999405100059,0.0,0.0,0.0,1.874829812517019,0.0,0.01535999846400015,97.73240022675998,0.0,0.0,0.0,0.06373999362600062
506,0.0005700099751745656,0.00188003290057576,0.004060071051243398,0.0,0.0,0.0,9.0001575027563e-05,0.0,0.01704029820521859,0.0,0.0,0.0,0.2020235354118697,0.0,1.910063426109957,0.0,3.43311007942639,25.65903903318308,0.0,0.0,66.87536031880558,1.896763193355883
406,20.30838406167681,20.78235415647083,22.23388444677688,1.384170276834055,0.2397600479520095,0.0,0.02399000479800096,5.154901030980205,3.861220772244153,0.01523000304600061,0.2636000527200105,0.0,1.384670276934055,0.0,2.569810513962102,0.0,0.0,0.0,0.0,0.0,0.0,21.77802435560486
511,0.002080398812452347,0.05274011027914047,1.718669468937195,0.0,0.0,0.0,78.01786602491696,0.0,2.162554561709479,0.0,0.0,0.0,0.2578994393225181,0.0,3.036582112791021,0.0,7.337386577006809,0.0,0.0,0.0,0.068663162728295,7.345558143496107
